source,destination,distance,road_quality,lane_count,road_type,speed_limit,tolls,foot_traffic,event,vehicle_type,historical_congestion,accident,pothole_reports,predicted_congestion,weight
E,C,1.0,2.64,3,highway,40,0,0.259,none,bike,0.42,no,4,0.328,8.273
C,E,2.0,4.61,3,urban,100,0,0.494,procession,suv,0.829,no,9,0.441,8.394
E,D,35.0,3.45,2,urban,80,2,0.655,procession,sedan,0.582,no,2,0.384,21.186
E,D,52.0,1.72,3,urban,100,0,0.551,procession,truck,0.653,no,10,0.574,26.745
B,D,7.0,3.68,2,urban,40,1,0.313,none,bike,0.157,no,10,0.303,12.488
D,E,10.0,1.92,3,rural,80,0,0.762,none,sedan,0.407,no,10,0.542,14.035
D,A,1.0,2.86,2,highway,40,1,0.361,vip_movement,truck,0.225,no,1,0.267,8.921
D,A,6.0,3.53,2,urban,40,0,0.782,procession,suv,0.623,no,7,0.464,11.257
B,D,52.0,3.12,4,rural,40,0,0.564,none,suv,0.004,no,3,0.272,22.521
B,E,40.0,4.62,4,urban,100,0,1.0,none,bike,0.524,no,2,0.411,18.097
A,B,1.0,2.03,2,urban,40,2,0.658,none,bike,0.894,no,7,0.578,15.943
A,E,12.0,1.82,4,urban,100,0,0.151,none,suv,0.574,no,5,0.414,11.987
A,C,46.0,1.7,2,rural,60,2,0.76,none,truck,0.197,yes,0,1.0,42.241
A,D,37.0,3.64,2,rural,40,2,0.255,vip_movement,sedan,0.51,no,9,0.353,23.804
C,B,19.0,2.95,2,rural,40,2,0.701,vip_movement,sedan,0.116,no,0,0.299,16.39
A,E,4.0,1.63,3,urban,100,0,0.615,procession,bike,0.738,no,7,0.586,12.033
D,A,48.0,3.23,2,highway,40,0,0.092,none,truck,0.024,no,1,0.157,19.721
C,E,31.0,1.96,2,urban,60,0,0.674,none,truck,0.027,no,7,0.414,18.886
A,D,40.0,4.74,4,rural,40,2,0.793,procession,suv,0.26,no,9,0.385,24.703
D,B,42.0,3.64,2,highway,80,0,0.847,vip_movement,suv,0.995,no,2,0.498,20.359
E,C,46.0,1.42,1,urban,100,0,0.391,none,sedan,0.212,no,6,0.462,23.628
A,C,7.0,3.71,1,urban,40,0,0.174,none,truck,0.116,no,10,0.266,10.109
E,B,14.0,3.95,2,urban,40,2,0.881,none,bike,0.244,no,4,0.366,15.929
D,B,48.0,4.96,2,rural,60,0,0.343,none,bike,0.483,no,4,0.286,20.567
E,C,57.0,2.74,2,urban,80,0,0.499,vip_movement,truck,0.301,no,3,0.336,23.881
D,A,9.0,1.42,2,rural,40,2,0.404,none,suv,0.948,no,2,0.572,18.343
E,C,4.0,2.65,2,highway,60,0,0.204,none,bike,0.135,no,6,0.278,8.568
E,C,3.0,1.22,2,urban,60,0,0.266,none,truck,0.077,no,1,0.407,10.77
D,C,9.0,1.98,2,rural,80,1,0.127,none,suv,0.593,no,4,0.386,12.879
B,D,31.0,4.8,2,rural,80,0,0.264,vip_movement,sedan,0.394,no,1,0.225,13.792
B,E,9.0,3.09,4,rural,40,0,0.823,procession,bike,0.62,no,4,0.458,11.698
B,C,26.0,1.38,3,rural,100,1,0.566,none,bike,0.127,no,2,0.448,18.804
A,B,47.0,2.09,3,urban,60,1,0.751,none,suv,0.201,no,5,0.432,25.315
B,C,7.0,2.66,2,urban,80,2,0.541,vip_movement,truck,0.262,no,2,0.331,12.685
D,C,7.0,3.42,2,highway,100,0,0.203,none,bike,0.572,no,10,0.372,9.779
A,D,5.0,2.05,4,rural,40,0,0.978,none,sedan,0.266,no,7,0.514,12.474
E,A,59.0,2.19,2,highway,60,2,0.787,none,sedan,0.968,no,0,0.534,30.824
E,A,24.0,4.97,3,urban,60,1,0.022,procession,sedan,0.794,no,3,0.274,15.043
D,E,44.0,2.69,1,highway,60,2,0.331,vip_movement,sedan,0.959,no,0,0.407,24.628
B,C,52.0,2.64,4,rural,100,2,0.281,none,suv,0.276,no,2,0.283,25.216
D,C,56.0,2.89,3,rural,100,1,0.518,procession,sedan,0.657,no,9,0.464,27.467
A,C,47.0,2.87,2,urban,100,0,0.622,none,bike,0.053,no,6,0.334,20.887
B,A,12.0,3.62,1,rural,100,2,0.299,none,bike,0.487,no,10,0.368,15.157
B,D,58.0,1.52,1,rural,60,2,0.009,vip_movement,truck,0.611,no,10,0.487,33.065
D,B,59.0,1.19,2,rural,80,0,0.893,none,truck,0.164,no,5,0.598,29.893
B,E,51.0,4.01,2,highway,40,0,0.261,none,bike,0.141,no,3,0.21,21.25
D,A,24.0,1.59,2,highway,100,2,0.761,procession,bike,0.458,no,1,0.505,20.084
C,B,2.0,2.53,2,highway,80,0,0.954,none,suv,0.608,no,10,0.571,11.285
D,A,33.0,4.73,2,rural,100,0,0.579,none,truck,0.625,no,10,0.425,17.712
C,E,20.0,1.83,1,rural,60,0,0.996,procession,suv,0.331,no,9,0.573,17.763
A,B,9.0,1.11,3,highway,60,2,0.512,none,truck,0.393,no,3,0.571,19.007
E,A,34.0,1.44,2,rural,100,0,0.331,none,sedan,0.347,no,1,0.423,18.595
A,E,16.0,1.38,2,highway,100,0,0.773,none,sedan,0.465,no,5,0.587,15.792
A,D,12.0,3.4,4,urban,60,0,0.152,procession,sedan,0.253,no,7,0.269,10.656
A,D,31.0,1.95,2,urban,80,0,0.992,vip_movement,bike,0.671,yes,5,1.0,33.865
A,E,47.0,2.69,2,urban,80,1,0.833,none,bike,0.511,no,3,0.448,24.04
E,A,38.0,3.17,2,urban,80,2,0.553,procession,bike,0.86,no,9,0.499,24.761
D,A,42.0,3.48,2,urban,80,2,0.093,none,suv,0.866,no,4,0.347,23.302
C,D,12.0,2.68,2,highway,80,2,0.313,none,suv,0.622,no,7,0.406,15.925
A,B,52.0,2.41,4,urban,100,0,0.606,vip_movement,truck,0.876,no,2,0.483,23.405
C,E,18.0,3.38,2,highway,60,2,0.721,none,sedan,0.839,no,8,0.511,19.087
C,B,15.0,3.51,2,highway,80,2,0.262,none,truck,0.249,no,2,0.236,13.684
A,D,24.0,1.69,2,highway,60,1,0.115,procession,sedan,0.594,yes,6,1.0,34.857
B,A,28.0,3.44,4,highway,60,0,0.703,vip_movement,truck,0.669,no,8,0.471,17.664
E,D,30.0,4.35,2,highway,100,0,0.91,vip_movement,truck,0.846,no,3,0.473,15.98
D,A,21.0,3.63,2,highway,40,2,0.042,none,bike,0.84,no,4,0.327,17.741
B,D,57.0,2.49,2,rural,40,0,0.113,vip_movement,truck,0.72,no,5,0.377,25.884
D,B,8.0,4.05,2,urban,100,0,0.492,none,truck,0.269,no,5,0.301,8.146
C,A,1.0,4.65,2,urban,60,0,0.862,none,suv,0.831,no,9,0.515,9.821
C,A,10.0,1.5,2,urban,100,1,0.91,none,sedan,0.425,no,3,0.564,15.071
D,E,21.0,2.11,1,urban,100,0,0.781,none,suv,0.695,no,4,0.525,15.222
C,D,21.0,3.01,2,urban,100,0,0.696,vip_movement,bike,0.919,no,1,0.466,13.315
C,E,38.0,1.68,3,urban,60,0,0.345,vip_movement,suv,0.559,no,0,0.418,20.055
D,C,39.0,3.04,1,highway,100,2,0.449,none,bike,0.365,no,5,0.345,22.294
B,A,11.0,1.41,4,rural,60,1,0.066,none,truck,0.331,no,6,0.423,15.779
D,C,30.0,2.72,4,rural,80,0,0.398,none,truck,0.705,no,3,0.398,16.417
C,E,56.0,3.33,2,urban,80,1,0.415,none,bike,0.327,no,10,0.369,26.987
E,D,46.0,2.37,3,urban,40,0,0.791,none,bike,0.023,no,8,0.412,23.625
E,C,13.0,4.15,4,rural,80,2,0.974,none,truck,0.227,no,3,0.367,14.37
D,E,10.0,4.72,2,urban,100,0,0.841,none,truck,0.422,no,10,0.437,10.933
A,B,15.0,4.28,2,rural,60,0,0.431,vip_movement,sedan,0.819,no,5,0.393,12.102
E,D,58.0,4.64,2,highway,60,0,0.702,vip_movement,suv,0.377,no,10,0.402,25.999
A,E,49.0,1.89,3,rural,60,0,0.558,vip_movement,suv,0.381,no,6,0.46,24.65
B,D,27.0,1.99,2,highway,80,2,0.677,procession,bike,0.039,no,2,0.364,19.649
C,E,39.0,4.84,2,rural,40,2,0.448,none,bike,0.955,no,6,0.423,24.167
C,E,23.0,2.17,2,highway,100,1,0.25,procession,sedan,0.379,no,7,0.381,16.913
E,B,17.0,3.92,3,urban,40,1,0.391,none,truck,0.239,no,8,0.308,15.056
C,D,41.0,4.65,2,highway,100,0,0.552,none,truck,0.723,no,9,0.431,19.986
E,B,17.0,4.97,4,rural,60,0,0.303,none,suv,0.951,no,9,0.421,13.619
A,B,11.0,3.07,2,highway,40,0,0.106,none,sedan,0.206,no,6,0.253,10.655
B,C,26.0,3.39,4,urban,100,0,0.744,procession,suv,0.69,no,7,0.475,15.92
A,C,47.0,2.58,2,urban,80,0,0.429,none,truck,0.5,no,7,0.411,22.545
B,D,23.0,3.83,2,rural,40,0,0.497,none,suv,0.495,no,2,0.323,13.835
B,E,59.0,1.12,2,urban,60,1,0.261,procession,bike,0.529,no,5,0.564,32.285
B,C,54.0,4.97,3,highway,60,0,0.222,procession,sedan,0.697,no,4,0.304,22.551
B,C,30.0,1.88,2,urban,40,0,0.859,none,sedan,0.684,no,9,0.611,21.57
C,A,17.0,2.6,2,highway,80,0,0.332,vip_movement,sedan,0.902,no,6,0.461,13.829
B,E,7.0,4.39,2,rural,40,1,0.481,none,truck,0.974,no,9,0.472,13.761
D,B,30.0,1.71,2,highway,100,0,0.837,none,sedan,0.914,no,4,0.625,19.473
A,E,34.0,2.78,4,highway,100,0,0.404,procession,bike,0.744,no,4,0.413,17.428
D,E,56.0,2.99,2,urban,100,0,0.102,procession,truck,0.553,no,4,0.305,22.816
B,C,46.0,4.35,2,rural,100,1,0.557,vip_movement,sedan,0.49,no,7,0.371,22.563
E,C,28.0,2.95,3,highway,60,0,0.319,none,bike,0.156,no,2,0.251,14.501
C,E,44.0,4.34,1,highway,100,0,0.895,procession,truck,0.778,no,9,0.517,21.817
B,A,56.0,3.39,2,urban,100,2,0.727,vip_movement,sedan,0.114,no,9,0.376,28.335
A,E,7.0,1.89,3,highway,80,0,0.087,vip_movement,suv,0.324,no,6,0.354,10.478
E,A,40.0,3.94,1,urban,60,0,0.852,none,sedan,0.423,no,10,0.457,21.335
D,A,45.0,4.1,2,highway,100,2,0.218,none,bike,0.202,no,5,0.232,22.536
C,E,39.0,3.54,1,urban,60,0,0.067,none,bike,0.237,no,3,0.204,17.25
D,C,6.0,1.02,2,urban,40,1,0.235,vip_movement,truck,0.015,no,8,0.523,17.549
E,A,48.0,2.66,3,urban,100,0,0.611,none,sedan,0.077,no,10,0.388,22.666
D,E,50.0,4.38,2,highway,80,1,0.801,vip_movement,truck,0.996,no,9,0.541,26.35
E,D,51.0,1.7,2,rural,80,0,0.451,none,sedan,0.745,no,10,0.575,26.996
C,E,10.0,3.23,1,urban,60,0,0.883,none,suv,0.598,no,4,0.46,11.452
C,A,53.0,1.55,2,rural,40,0,0.957,none,bike,0.626,no,7,0.645,28.989
B,E,32.0,2.07,4,urban,100,0,0.371,procession,sedan,0.178,no,2,0.323,16.152
C,E,57.0,1.34,2,urban,80,2,0.53,procession,sedan,0.69,no,6,0.603,33.078
B,E,28.0,3.54,2,highway,40,1,0.195,vip_movement,suv,0.619,no,2,0.296,17.167
D,A,50.0,1.49,2,highway,80,2,0.342,vip_movement,suv,0.6,no,6,0.516,29.712
C,A,23.0,2.37,2,urban,40,0,0.977,vip_movement,sedan,0.006,no,9,0.456,17.368
C,E,6.0,4.73,3,urban,40,0,0.126,vip_movement,suv,0.159,no,5,0.192,7.773
B,E,23.0,2.04,3,urban,40,2,0.918,vip_movement,bike,0.906,no,9,0.651,23.665
B,E,55.0,1.49,1,urban,60,2,0.616,none,sedan,0.491,no,9,0.58,32.954
E,C,45.0,1.4,1,rural,60,1,0.535,none,suv,0.334,no,7,0.529,27.254
D,C,41.0,4.57,3,urban,100,0,0.657,procession,sedan,0.194,no,2,0.278,17.07
A,D,17.0,4.59,3,highway,100,0,0.313,vip_movement,bike,0.379,no,6,0.285,10.742
A,B,9.0,1.38,3,highway,100,0,0.599,procession,bike,0.741,no,5,0.609,13.923
B,A,55.0,3.27,2,highway,100,2,0.442,none,truck,0.125,no,1,0.246,25.19
B,D,57.0,3.76,3,urban,40,2,0.045,vip_movement,bike,0.147,no,9,0.235,28.578
B,E,42.0,1.86,2,highway,40,2,0.614,none,bike,0.704,no,3,0.509,26.987
B,D,1.0,4.18,4,rural,60,0,0.572,none,truck,0.217,no,1,0.263,5.832
B,E,34.0,2.46,2,rural,80,2,0.252,procession,sedan,0.664,no,8,0.426,23.084
D,B,37.0,4.74,2,highway,100,0,0.142,none,sedan,0.403,no,6,0.253,16.386
C,E,50.0,2.88,3,highway,80,1,0.853,procession,suv,0.501,no,4,0.45,25.034
A,B,49.0,2.25,1,rural,100,0,0.884,procession,sedan,0.279,no,9,0.501,24.232
B,E,12.0,2.89,4,highway,40,0,0.928,none,suv,0.893,no,9,0.593,15.055
D,C,4.0,3.51,4,urban,100,0,0.646,vip_movement,truck,0.552,no,6,0.414,8.46
B,D,23.0,1.36,2,highway,100,0,0.301,none,sedan,0.801,no,5,0.566,17.745
D,E,40.0,1.87,1,rural,40,0,0.096,procession,truck,0.283,no,1,0.299,19.866
D,B,22.0,4.94,4,rural,100,1,0.977,procession,bike,0.88,no,6,0.512,16.437
E,C,43.0,1.15,1,urban,60,0,0.294,procession,sedan,0.423,no,5,0.541,25.154
D,A,26.0,1.58,2,rural,80,0,0.93,procession,bike,0.783,no,0,0.595,17.904
C,A,40.0,1.58,2,rural,100,0,0.323,vip_movement,bike,0.23,no,2,0.384,19.909
A,B,22.0,1.3,1,urban,100,0,0.777,none,suv,0.471,no,5,0.608,18.023
D,C,19.0,3.92,2,highway,80,0,0.927,none,suv,0.774,no,10,0.542,15.395
B,A,5.0,1.79,2,urban,80,0,0.742,vip_movement,truck,0.869,no,2,0.565,11.341
E,D,51.0,1.92,2,urban,80,1,0.012,vip_movement,suv,0.342,no,3,0.309,24.6
C,E,22.0,2.44,3,highway,80,0,0.144,none,truck,0.523,no,3,0.327,13.525
D,E,59.0,1.75,3,rural,80,0,0.468,procession,truck,0.046,no,2,0.352,25.483
D,E,54.0,3.58,3,highway,80,0,0.317,none,bike,0.642,no,5,0.354,23.133
D,C,43.0,1.58,4,highway,60,0,0.893,vip_movement,bike,0.598,no,7,0.621,25.179
E,C,50.0,1.33,1,urban,100,2,0.332,none,suv,0.252,no,3,0.448,28.347
C,D,47.0,3.05,1,urban,60,0,0.827,none,bike,0.217,no,1,0.35,20.938
D,A,24.0,2.84,4,urban,60,0,0.577,none,truck,0.128,no,6,0.342,15.075
E,B,47.0,4.74,3,urban,60,0,0.225,vip_movement,bike,0.766,no,6,0.343,21.28
C,E,29.0,3.9,2,highway,100,1,0.701,none,sedan,0.833,no,1,0.419,16.872
C,D,58.0,3.63,2,highway,40,1,0.027,none,bike,0.345,no,3,0.215,25.524
D,E,11.0,3.41,4,rural,40,0,0.046,procession,truck,0.742,yes,5,1.0,27.768
D,B,33.0,1.9,3,rural,100,1,0.164,procession,truck,0.532,no,8,0.429,20.924
E,A,30.0,3.98,2,rural,40,1,0.674,procession,suv,0.746,no,3,0.415,19.001
D,B,34.0,3.47,2,rural,100,1,0.545,procession,bike,0.818,no,4,0.428,19.222
C,E,52.0,1.76,2,rural,80,0,0.88,none,bike,0.802,no,10,0.663,28.064
E,C,2.0,2.69,2,rural,80,0,0.225,none,truck,0.804,no,2,0.374,7.602
E,C,44.0,2.28,2,highway,100,1,0.456,none,suv,0.831,no,2,0.453,22.825
D,B,15.0,4.67,1,rural,80,2,0.577,procession,truck,0.112,no,8,0.304,15.205
C,E,2.0,2.99,2,rural,40,1,0.78,none,bike,0.844,no,7,0.528,12.954
D,C,28.0,4.29,2,highway,60,0,0.677,procession,suv,0.069,no,3,0.273,14.392
D,E,31.0,1.02,2,urban,40,2,0.267,vip_movement,truck,0.012,no,9,0.537,27.36
C,D,7.0,3.08,2,rural,100,0,0.584,none,suv,0.909,no,4,0.468,9.704
D,E,51.0,1.39,2,highway,100,2,0.565,none,truck,0.233,no,9,0.537,30.556
C,B,2.0,2.31,2,urban,40,0,0.065,none,suv,0.335,no,7,0.323,9.393
A,D,13.0,2.76,2,urban,40,2,0.744,none,bike,0.276,no,7,0.419,17.299
D,A,13.0,1.97,2,urban,40,0,0.309,procession,bike,0.152,no,1,0.305,11.692
C,D,1.0,3.17,2,rural,80,0,0.869,vip_movement,bike,0.418,no,6,0.444,8.514
B,E,39.0,1.4,3,urban,60,0,0.765,none,sedan,0.107,no,4,0.501,22.584
D,A,34.0,4.28,3,urban,60,2,0.358,vip_movement,truck,0.846,no,1,0.344,20.509
B,E,12.0,1.44,1,highway,60,1,0.832,vip_movement,suv,0.091,no,9,0.551,17.877
B,D,38.0,3.61,1,highway,60,2,0.259,procession,suv,0.614,no,4,0.325,22.339
C,A,56.0,4.1,2,highway,60,2,0.467,vip_movement,suv,0.771,no,0,0.345,26.968
B,A,7.0,3.69,2,rural,100,0,0.415,none,suv,0.199,no,3,0.261,7.169
C,A,37.0,1.11,2,rural,100,0,0.78,none,sedan,0.566,no,1,0.64,22.716
D,A,15.0,2.77,1,rural,60,0,0.812,none,suv,0.758,no,1,0.469,12.696
C,A,20.0,3.91,2,rural,40,1,0.877,none,truck,0.235,no,3,0.355,15.428
E,A,32.0,3.15,3,rural,100,1,0.352,procession,bike,0.961,no,5,0.44,19.087
D,C,26.0,4.37,1,urban,80,2,0.566,none,sedan,0.605,yes,9,1.0,35.745
C,D,20.0,3.57,3,rural,80,2,0.861,none,suv,0.474,no,7,0.449,18.293
E,A,9.0,1.73,2,highway,100,0,0.58,vip_movement,bike,0.304,no,1,0.419,10.482
B,E,7.0,2.21,3,urban,60,2,0.313,none,suv,0.432,no,10,0.43,16.165
D,A,11.0,4.26,3,highway,100,0,0.894,procession,suv,0.864,yes,7,1.0,26.374
B,E,51.0,4.61,3,highway,80,2,0.708,vip_movement,suv,0.466,no,2,0.342,25.202
B,C,22.0,2.9,1,rural,100,0,0.846,none,sedan,0.869,no,7,0.551,15.739
B,E,48.0,2.63,3,highway,40,0,0.582,none,sedan,0.094,no,9,0.377,23.874
B,D,57.0,4.39,3,rural,100,0,0.564,none,bike,0.87,no,3,0.408,23.417
E,A,20.0,4.9,2,highway,100,0,0.503,none,truck,0.828,no,5,0.398,12.498
A,E,27.0,1.08,3,rural,40,2,0.571,procession,suv,0.563,no,6,0.656,26.484
D,A,48.0,3.19,2,urban,60,1,0.318,none,bike,0.147,no,1,0.228,21.954
A,C,27.0,3.55,2,highway,80,1,0.574,none,bike,0.712,no,7,0.44,18.306
E,A,13.0,3.53,2,urban,80,0,0.428,none,sedan,0.461,no,7,0.361,11.326
E,C,56.0,1.83,2,rural,100,2,0.913,none,sedan,0.53,no,7,0.578,31.211
E,D,27.0,2.67,2,highway,80,0,0.799,none,truck,0.566,no,5,0.473,16.697
D,A,49.0,2.68,3,highway,80,0,0.795,procession,truck,0.562,no,7,0.49,23.868
A,D,15.0,4.02,2,urban,80,1,0.046,vip_movement,sedan,0.361,no,4,0.221,11.753
A,E,24.0,2.25,4,rural,80,0,0.981,none,bike,0.214,no,8,0.497,16.998
D,A,19.0,2.42,2,highway,40,1,0.25,none,sedan,0.367,no,8,0.369,17.06
C,A,14.0,3.6,1,highway,60,1,0.401,procession,truck,0.382,no,9,0.358,14.464
A,E,53.0,2.07,1,highway,80,0,0.459,none,sedan,0.792,no,8,0.523,26.14
B,E,34.0,1.16,3,urban,80,0,0.176,none,sedan,0.328,no,10,0.546,22.983
B,C,35.0,4.01,4,highway,40,0,0.59,none,suv,0.371,no,1,0.302,16.968
D,B,13.0,3.67,2,urban,100,0,0.75,none,suv,0.239,no,8,0.387,11.23
A,D,19.0,2.81,2,highway,60,1,0.001,procession,truck,0.184,no,7,0.249,14.876
D,E,30.0,3.17,2,rural,60,1,0.132,procession,suv,0.655,no,8,0.364,19.314
B,C,30.0,1.16,4,urban,80,0,0.733,procession,sedan,0.604,no,3,0.643,21.359
A,B,57.0,4.57,4,highway,100,2,0.582,none,truck,0.754,no,1,0.365,26.542
E,B,40.0,1.28,3,highway,40,0,0.198,vip_movement,sedan,0.306,no,2,0.432,22.618
C,B,28.0,1.08,2,highway,60,0,0.027,none,sedan,0.319,no,0,0.441,18.958
A,D,58.0,4.53,1,urban,40,1,0.865,none,bike,0.809,no,8,0.503,29.134
E,B,49.0,1.85,1,urban,100,0,0.777,none,suv,0.724,no,4,0.556,24.269
C,D,3.0,4.6,1,urban,80,0,0.196,procession,sedan,0.98,no,7,0.392,8.309
B,C,48.0,1.99,2,urban,80,0,0.835,none,truck,0.288,no,7,0.496,24.277
D,E,31.0,3.95,2,urban,100,0,0.734,none,sedan,0.455,no,10,0.439,17.458
D,B,36.0,2.31,1,rural,100,2,0.275,none,bike,0.577,no,1,0.354,21.205
C,E,28.0,1.02,2,rural,40,0,0.015,none,truck,0.205,no,6,0.498,21.502
C,A,13.0,4.92,2,rural,40,2,0.959,none,sedan,0.425,no,4,0.398,15.7
D,B,4.0,3.32,3,highway,40,1,0.096,procession,suv,0.005,no,10,0.241,11.117
D,B,53.0,2.91,2,rural,40,2,0.683,none,bike,0.808,no,9,0.526,30.675
B,C,18.0,4.5,1,rural,100,1,0.739,none,suv,0.953,yes,3,1.0,29.611
B,C,52.0,2.1,2,highway,100,0,0.106,vip_movement,truck,0.223,no,6,0.317,22.852
C,D,11.0,2.88,2,highway,40,2,0.554,none,sedan,0.926,no,3,0.465,16.288
B,E,57.0,2.07,2,highway,60,0,0.687,none,suv,0.894,no,6,0.569,27.909
D,A,9.0,1.58,4,urban,80,1,0.796,none,truck,0.243,no,9,0.55,16.158
C,D,49.0,2.32,1,rural,80,0,0.543,none,sedan,0.509,no,0,0.383,21.679
A,E,25.0,1.14,3,rural,40,1,0.663,vip_movement,bike,0.803,no,1,0.653,22.6
B,C,21.0,3.02,4,rural,80,2,0.942,none,sedan,0.266,no,7,0.444,18.796
E,B,28.0,2.92,4,urban,60,0,0.333,none,truck,0.887,no,7,0.451,17.525
B,D,56.0,4.11,2,urban,60,2,0.674,none,sedan,0.776,no,6,0.447,29.19
A,E,16.0,4.52,1,highway,40,0,0.18,procession,sedan,0.402,no,6,0.265,11.753
E,A,31.0,3.13,2,rural,100,0,0.301,none,suv,0.214,no,1,0.241,14.006
E,A,4.0,4.3,1,highway,40,1,0.352,none,bike,0.708,no,2,0.325,10.01
E,C,10.0,3.69,3,highway,40,0,0.352,procession,sedan,0.593,no,5,0.347,10.828
C,A,59.0,1.71,3,urban,100,0,0.109,procession,truck,0.086,no,3,0.304,24.767
E,B,42.0,2.07,2,highway,40,0,0.23,none,bike,0.088,no,7,0.326,21.674
C,A,8.0,3.54,2,highway,60,0,0.509,procession,suv,0.954,no,3,0.436,10.27
A,E,56.0,4.1,1,urban,80,1,0.589,none,bike,0.368,no,10,0.389,26.908
D,B,23.0,4.21,2,urban,60,0,0.355,vip_movement,truck,0.702,no,7,0.376,14.751
B,C,36.0,3.6,2,urban,80,1,0.249,vip_movement,sedan,0.963,no,0,0.353,18.72
B,E,4.0,4.67,2,urban,80,2,0.721,vip_movement,truck,0.363,yes,7,1.0,28.67
B,E,57.0,2.1,3,urban,80,0,0.991,none,sedan,0.582,no,0,0.505,25.528
E,A,11.0,3.78,1,highway,40,2,0.625,none,sedan,0.287,no,7,0.358,15.607
D,A,32.0,1.01,2,highway,60,1,0.035,procession,bike,0.349,no,0,0.472,22.768
C,D,23.0,1.86,2,highway,100,0,0.557,vip_movement,suv,0.239,no,10,0.474,16.819
B,C,33.0,2.62,2,highway,80,0,0.611,none,bike,0.956,no,1,0.476,17.765
B,E,18.0,4.56,2,highway,60,0,0.038,procession,truck,0.45,no,6,0.245,11.649
D,C,20.0,3.55,2,urban,40,0,0.755,vip_movement,truck,0.72,no,10,0.508,16.488
A,C,9.0,1.14,2,urban,60,0,0.004,none,bike,0.144,no,2,0.399,12.968
D,B,36.0,1.68,2,highway,100,1,0.319,vip_movement,bike,0.608,no,0,0.424,20.519
A,D,52.0,4.09,4,rural,40,0,0.904,none,truck,0.182,no,3,0.345,22.871
D,C,58.0,1.97,2,highway,100,2,0.633,none,suv,0.169,no,5,0.413,29.564
C,E,29.0,3.99,3,highway,60,1,0.41,none,sedan,0.802,no,6,0.403,18.68
B,E,56.0,2.21,2,highway,100,1,0.161,none,truck,0.788,no,4,0.411,26.474
D,E,58.0,1.07,2,highway,40,0,0.935,vip_movement,bike,0.828,no,3,0.757,32.258
E,A,23.0,4.9,2,urban,40,0,0.977,none,suv,0.431,no,10,0.463,16.551
D,B,9.0,4.31,2,highway,80,1,0.861,none,sedan,0.859,no,3,0.467,12.128
E,B,14.0,2.29,2,highway,100,0,0.417,vip_movement,suv,0.171,no,5,0.342,11.305
E,D,46.0,4.85,1,urban,40,0,0.555,vip_movement,truck,0.758,no,6,0.405,22.079
A,D,11.0,3.13,2,highway,80,0,0.051,none,sedan,0.497,no,8,0.318,10.673
D,C,46.0,2.11,1,highway,60,1,0.272,none,suv,0.994,no,5,0.493,25.605
C,B,58.0,1.02,3,highway,100,0,0.72,procession,bike,0.003,no,8,0.615,30.54
A,C,28.0,4.39,1,highway,100,0,0.395,none,truck,0.587,no,0,0.288,12.915
D,B,10.0,1.05,4,urban,60,0,0.48,none,bike,0.713,no,7,0.689,17.548
E,A,12.0,2.56,2,urban,40,0,0.005,procession,sedan,0.718,no,10,0.401,13.56
B,C,33.0,3.95,3,rural,80,2,0.022,none,sedan,0.198,no,0,0.145,17.621
D,B,53.0,1.37,3,rural,60,0,0.419,procession,sedan,0.728,no,5,0.571,27.751
B,C,31.0,3.43,2,urban,80,0,0.878,none,suv,0.11,no,7,0.384,17.004
A,B,48.0,3.41,1,rural,100,1,0.131,none,bike,0.948,no,10,0.433,24.695
C,D,36.0,2.72,1,urban,100,0,0.313,none,sedan,0.992,no,2,0.428,17.825
D,B,56.0,4.22,2,highway,80,2,0.901,vip_movement,bike,0.09,no,4,0.333,27.114
E,A,23.0,4.53,2,rural,100,2,0.097,procession,suv,0.05,no,5,0.168,15.181
A,E,22.0,4.8,1,highway,80,1,0.966,procession,truck,0.899,no,10,0.556,18.203
D,E,47.0,1.13,2,rural,60,0,0.678,vip_movement,suv,0.932,no,6,0.736,28.597
D,E,53.0,2.39,2,highway,100,0,0.683,none,bike,0.829,no,5,0.52,24.691
A,B,29.0,1.55,2,rural,100,0,0.822,vip_movement,suv,0.568,no,0,0.536,17.786
B,C,26.0,4.77,2,rural,60,0,0.952,procession,sedan,0.816,no,0,0.437,14.722
E,A,10.0,1.01,3,rural,100,0,0.618,procession,truck,0.863,no,10,0.793,18.395
D,C,23.0,1.67,2,urban,60,0,0.956,none,sedan,0.002,no,3,0.462,16.619
A,C,53.0,1.61,2,rural,100,1,0.251,procession,truck,0.234,no,7,0.415,27.057
A,E,17.0,1.99,3,highway,80,0,0.568,none,truck,0.426,no,2,0.42,13.217
B,D,10.0,2.13,1,urban,40,1,0.568,procession,truck,0.975,no,3,0.527,15.219
E,C,33.0,1.94,1,highway,80,0,0.695,none,sedan,0.455,no,7,0.506,19.939
A,D,22.0,4.51,1,urban,100,2,0.033,vip_movement,sedan,0.708,no,7,0.307,16.679
B,E,10.0,3.89,2,rural,40,2,0.209,none,truck,0.108,no,10,0.266,14.944
D,C,56.0,4.83,2,urban,60,1,0.447,procession,truck,0.366,no,10,0.346,26.791
A,D,7.0,4.84,3,urban,40,2,0.714,none,truck,0.44,no,3,0.344,13.169
A,B,3.0,1.84,1,urban,100,1,0.707,none,bike,0.181,no,3,0.425,10.967
